,index,A2P,A2V,A1P,A1V,B1P,B1V,B2P,B2V,Cash,Inventory,Position,Action,Order ID,Price,Volume,Type,Direction
0,264,1547700,100,1547500,258,1546400,100,1546300,61,1000000000.0,1000000.0,{},Limit Order,9040569,1547400,54,1,1
1,546,1548000,173,1547900,165,1547100,100,1546900,100,999991644.04,1000054.0,{},No action,,,,,
2,646,1546900,9,1546800,100,1546300,323,1546000,200,999991644.04,1000054.0,{},Market Order,9334013,1546800,24,4,-1
3,695,1547100,100,1547000,422,1546500,10,1546100,500,999987931.7199999,1000078.0,{},Limit Order,9400521,1546500,100,1,1
4,703,1547500,100,1547100,100,1546600,110,1546500,100,999987931.7199999,1000078.0,"{9400521: (1546500, 100, 0, 0.0)}",Cancel Order,9400521,1546500,100,3,1
5,771,1547100,300,1546900,76,1546500,10,1546100,600,999987931.7199999,1000078.0,{},Limit Order,9436505,1546500,50,1,1
6,772,1547100,300,1546900,76,1546500,60,1546100,600,999987931.7199999,1000078.0,"{9436505: (1546500, 50, 10, 0.16666666666666666)}",Cancel Order,9436505,1546500,50,3,1
7,813,1546700,300,1546300,76,1546100,520,1545900,32,999987931.7199999,1000078.0,{},No action,,,,,
8,873,1547100,200,1546900,34,1546100,296,1545900,32,999987931.7199999,1000078.0,{},Limit Order,9555969,1546100,200,1,1
9,947,1546800,100,1546600,100,1546100,450,1545500,742,999957009.7199999,1000278.0,{},No action,,,,,
10,1016,1547700,100,1547500,100,1545700,353,1545500,742,999957009.7199999,1000278.0,{},Market Order,9592149,1545700,53,4,1
11,1044,1547700,100,1547500,100,1545500,300,1545400,50,999965201.93,1000225.0,{},Limit Order,9679873,1545500,4,1,1
12,1157,1546800,100,1546600,100,1545700,140,1545500,4,999965201.93,1000225.0,{},No action,,,,,
13,1179,1546800,100,1546600,257,1545700,220,1545600,100,999965201.93,1000225.0,{},Market Order,9735373,1545700,16,4,1
14,1292,1546700,5400,1546600,100,1545800,100,1545700,100,999967675.05,1000209.0,{},Market Order,9764729,1545800,80,4,1
15,1357,1546700,5399,1546600,100,1545800,200,1545700,171,999980041.4499999,1000129.0,{},Limit Order,9795893,1546400,100,1,1
16,1440,1546800,100,1546700,1419,1545600,100,1545400,150,999964577.4499999,1000229.0,{},Market Order,9795933,1545600,100,4,1
17,1475,1546600,10,1546500,200,1545600,100,1545500,100,999980033.4499999,1000129.0,{},No action,,,,,
18,1558,1546700,1419,1546600,110,1545500,200,1545400,50,999980033.4499999,1000129.0,{},No action,,,,,
19,1563,1546700,1419,1546600,110,1545600,500,1545500,300,999980033.4499999,1000129.0,{},Limit Order,9887661,1546600,100,1,-1
20,1606,1546400,100,1546300,400,1545500,341,1545400,50,999980033.4499999,1000129.0,{},No action,,,,,
21,1679,1546600,110,1546500,100,1545600,100,1545500,200,999980033.4499999,1000129.0,{},No action,,,,,
22,1736,1546000,35,1545900,19,1545500,232,1545400,50,999980033.4499999,1000129.0,{},Limit Order,9964521,1545500,168,1,1
23,1776,1546000,135,1545900,19,1545500,156,1545400,50,999954069.05,1000297.0,{},Market Order,9977057,1545500,56,4,1
24,1930,1546600,510,1546500,600,1546000,50,1545900,500,999962723.8499999,1000241.0,{},No action,,,,,
25,1977,1546600,610,1546500,500,1545600,600,1545500,500,999962723.8499999,1000241.0,{},Limit Order,10026189,1546600,100,1,-1
26,2012,1546500,500,1546400,600,1545700,100,1545600,600,999962723.8499999,1000241.0,{},Limit Order,10043013,1545600,100,1,1
27,2061,1546500,500,1546400,100,1545800,700,1545700,400,999962723.8499999,1000241.0,{},No action,,,,,
28,2082,1546600,510,1546500,1100,1545800,739,1545700,400,999962723.8499999,1000241.0,{},Limit Order,10092125,1546600,100,1,-1
29,2145,1546300,100,1546200,9,1545800,68,1545700,400,999962723.8499999,1000241.0,{},Market Order,10098353,1546200,9,4,-1
30,2195,1546600,610,1546500,400,1545900,600,1545800,600,999961332.2699999,1000250.0,{},Market Order,10124721,1546500,300,4,-1
31,2206,1546400,400,1546300,1000,1545800,700,1545700,400,999914937.2699999,1000550.0,{},No action,,,,,
32,2249,1546300,500,1546200,700,1545800,700,1545700,400,999914937.2699999,1000550.0,{},No action,,,,,
33,2390,1546500,600,1546400,22,1545800,600,1545700,605,999914937.2699999,1000550.0,{},No action,,,,,
34,2393,1546500,600,1546400,32,1545800,700,1545700,605,999914937.2699999,1000550.0,{},Limit Order,10261577,1545900,900,1,1
35,2458,1547400,500,1547300,500,1546700,200,1546600,600,999914937.2699999,1000550.0,{},No action,,,,,
36,2490,1547700,500,1547600,1000,1547000,26,1546800,400,999914937.2699999,1000550.0,{},No action,,,,,
37,2492,1547800,700,1547700,500,1547000,26,1546800,400,999914937.2699999,1000550.0,{},Limit Order,10340785,1546800,200,1,1
38,2502,1547900,69,1547800,100,1547000,800,1546900,400,999914937.2699999,1000550.0,{},Market Order,10293009,1547800,100,4,-1
39,2704,1549300,200,1549200,120,1548200,500,1548100,200,999899459.2699999,1000650.0,{},Limit Order,10384601,1548100,100,1,1
40,2718,1549200,100,1549100,120,1548200,700,1548100,300,999899459.2699999,1000650.0,{},No action,,,,,
41,2824,1549200,550,1549100,200,1548200,500,1548100,200,999899459.2699999,1000650.0,{},No action,,,,,
42,2862,1549100,400,1549000,150,1548500,100,1548400,600,999899459.2699999,1000650.0,{},No action,,,,,
43,2899,1549100,600,1549000,50,1548600,17,1548500,300,999899459.2699999,1000650.0,{},Limit Order,10494941,1548500,100,1,1
44,2916,1549200,600,1549000,150,1548600,17,1548500,400,999899459.2699999,1000650.0,"{10494941: (1548500, 100, 300, 0.75)}",Market Order,10508053,1549000,100,4,-1
45,3046,1550100,600,1550000,7041,1549600,200,1549500,800,999883969.2699999,1000750.0,{},Market Order,10533181,1549600,100,4,1
46,3273,1551900,400,1551800,69,1551200,400,1551100,500,999899465.2699999,1000650.0,{},Limit Order,10581645,1551200,100,1,1
47,3334,1552600,100,1552500,50,1551900,500,1551800,400,999899465.2699999,1000650.0,{},Market Order,10596005,1551900,448,4,1
48,3378,1552400,500,1552300,600,1551600,500,1551500,600,999968990.3899999,1000202.0,{},Market Order,10605597,1551600,100,4,1
49,3400,1552500,250,1552400,500,1551500,800,1551400,500,999984506.3899999,1000102.0,{},Limit Order,10643501,1551600,1000,1,1
50,3401,1552500,250,1552400,500,1551600,1000,1551500,800,999984506.3899999,1000102.0,"{10643501: (1551600, 1000, 0, 0.0)}",Cancel Order,10643501,1551600,400,2,1
51,3404,1552300,500,1552100,12,1551600,600,1551500,800,999984506.3899999,1000102.0,"{10643501: (1551600, 600, 0, 0.0)}",Cancel Order,10643501,1551600,600,3,1
52,3418,1552400,500,1552300,1100,1551600,500,1551500,800,999984506.3899999,1000102.0,{},No action,,,,,
53,3615,1551300,500,1551200,500,1550600,700,1550500,600,999984506.3899999,1000102.0,{},No action,,,,,
54,3641,1551400,500,1551300,1100,1550800,300,1550700,600,999984506.3899999,1000102.0,{},No action,,,,,
55,3667,1551700,700,1551600,850,1550800,300,1550700,600,999984506.3899999,1000102.0,{},Limit Order,10741737,1550800,200,1,1
56,3672,1551700,700,1551600,850,1550800,275,1550700,600,999984506.3899999,1000102.0,"{10741737: (1550800, 200, 75, 0.2727272727272727)}",Market Order,10710441,1550800,75,4,1
57,3791,1549700,600,1549600,600,1548700,150,1548600,600,999965121.3899999,1000227.0,{},Limit Order,10784733,1549600,100,1,-1
58,3796,1549700,600,1549600,100,1548700,250,1548600,600,999965121.3899999,1000227.0,"{10784733: (1549600, 100, 0, 0.0)}",Cancel Order,10784733,1549600,100,3,-1
59,3814,1549800,700,1549700,400,1548700,250,1548600,600,999965121.3899999,1000227.0,{},Limit Order,10825829,1549600,100,1,-1
60,3819,1549700,500,1549600,700,1548700,250,1548600,600,999965121.3899999,1000227.0,"{10825829: (1549600, 100, 0, 0.0)}",Limit Order,10840609,1549500,1000,1,-1
61,3917,1548600,500,1548500,648,1547800,500,1547500,100,999965121.3899999,1000227.0,{},Limit Order,10865429,1548500,100,1,-1
62,3920,1548600,500,1548500,196,1547800,500,1547500,100,999965121.3899999,1000227.0,"{10865429: (1548500, 100, 48, 0.24489795918367346)}",No action,,,,,
63,3965,1548500,548,1548400,500,1547800,752,1547200,400,999965121.3899999,1000227.0,{},No action,,,,,
64,4154,1550200,600,1550100,600,1549500,400,1549400,600,999965121.3899999,1000227.0,{},No action,,,,,
65,4318,1551200,200,1551100,10,1550500,100,1550400,700,999965121.3899999,1000227.0,{},Market Order,11043021,1551100,10,4,-1
66,4409,1551900,100,1551700,13,1551100,500,1551000,500,999963570.2899998,1000237.0,{},Limit Order,11092325,1551100,100,1,1
67,4468,1552200,800,1552100,100,1551300,200,1551200,400,999963570.2899998,1000237.0,{},Limit Order,11149821,1551200,100,1,1
68,4473,1552200,800,1552100,100,1551300,844,1551200,500,999963570.2899998,1000237.0,"{11149821: (1551200, 100, 400, 0.8)}",No action,,,,,
69,4485,1551700,10,1551500,100,1551200,90,1551000,500,999962019.0899998,1000247.0,"{11149821: (1551200, 90, 0, 0.0)}",Cancel Order,11149821,1551200,90,3,1
70,4526,1551300,100,1551200,100,1550800,38,1550700,500,999962019.0899998,1000247.0,{},Market Order,11200305,1550800,38,4,1
71,4573,1551100,700,1551000,288,1550200,500,1550100,800,999967912.1299998,1000209.0,{},No action,,,,,
72,4588,1551300,100,1551100,200,1550300,1100,1550200,532,999967912.1299998,1000209.0,{},No action,,,,,
73,4597,1551400,500,1551100,100,1550500,5,1550400,600,999967912.1299998,1000209.0,{},Limit Order,11295273,1550500,500,1,1
74,4611,1551300,500,1551100,100,1550700,100,1550600,5,999967912.1299998,1000209.0,{},Limit Order,11322521,1550900,100,1,1
75,4734,1550400,600,1550300,100,1549900,700,1549800,600,999952403.1299998,1000309.0,{},No action,,,,,
76,4810,1550300,900,1550200,600,1549400,100,1549300,600,999952403.1299998,1000309.0,{},No action,,,,,
77,4814,1550400,500,1550300,900,1549400,100,1549300,600,999952403.1299998,1000309.0,{},No action,,,,,
78,4873,1550600,648,1550500,500,1549600,800,1549500,523,999952403.1299998,1000309.0,{},No action,,,,,
79,4877,1550600,600,1550500,200,1549600,300,1549500,523,999952403.1299998,1000309.0,{},Limit Order,11428533,1550600,250,1,-1
80,4895,1550600,850,1550500,300,1549600,707,1549500,523,999952403.1299998,1000309.0,{},No action,,,,,
81,5054,1551600,500,1551500,500,1550700,500,1550600,500,999952403.1299998,1000309.0,{},No action,,,,,
82,5078,1551700,600,1551600,400,1551000,400,1550900,600,999952403.1299998,1000309.0,{},Limit Order,11500577,1551200,100,1,1
83,5158,1552700,100,1552500,50,1551900,100,1551800,500,999952403.1299998,1000309.0,{},No action,,,,,
84,5177,1552700,500,1552500,50,1551700,100,1551600,500,999952403.1299998,1000309.0,{},Limit Order,11538649,1551700,100,1,1
85,5196,1552700,400,1552500,50,1551900,100,1551800,500,999952403.1299998,1000309.0,{},No action,,,,,
86,5239,1553500,400,1553300,100,1552600,400,1552500,700,999952403.1299998,1000309.0,{},No action,,,,,
87,5246,1553600,200,1553500,400,1552700,500,1552600,500,999952403.1299998,1000309.0,{},Limit Order,11607021,1553500,100,1,-1
88,5252,1553600,200,1553500,400,1552800,500,1552700,500,999952403.1299998,1000309.0,"{11607021: (1553500, 100, 300, 0.75)}",Limit Order,11623945,1552900,100,1,1
89,5281,1553800,100,1553600,100,1553100,400,1553000,600,999967938.1299998,1000209.0,{},No action,,,,,
90,5315,1554200,200,1554000,600,1553200,600,1553100,700,999967938.1299998,1000209.0,{},No action,,,,,
91,5359,1554700,100,1554600,400,1554000,700,1553900,500,999967938.1299998,1000209.0,{},Limit Order,11707725,1554100,1000,1,1
92,5360,1554700,100,1554600,400,1554100,1000,1554000,700,999967938.1299998,1000209.0,"{11707725: (1554100, 1000, 0, 0.0)}",Cancel Order,11707725,1554100,1000,3,1
93,5362,1554700,100,1554600,400,1554100,100,1554000,700,999967938.1299998,1000209.0,{},Limit Order,11734425,1554000,100,1,1
94,5382,1555000,1876,1554900,100,1554400,1000,1554300,500,999967938.1299998,1000209.0,{},No action,,,,,
95,5495,1555400,100,1555300,100,1554800,300,1554500,500,999967938.1299998,1000209.0,{},Market Order,11774773,1554800,300,4,1
96,5570,1555500,499,1555400,118,1554500,522,1554400,800,1000014582.1299998,999909.0,{},No action,,,,,
97,5664,1555300,209,1555200,132,1554100,300,1554000,700,1000014582.1299998,999909.0,{},Limit Order,11836009,1554600,250,1,-1
98,5734,1554500,200,1554300,100,1553400,500,1553300,400,1000014582.1299998,999909.0,{},No action,,,,,
99,5868,1553300,700,1553100,100,1552500,500,1552400,600,1000014582.1299998,999909.0,{},No action,,,,,
100,5885,1553200,500,1553100,500,1552300,700,1552200,600,1000014582.1299998,999909.0,{},No action,,,,,
101,5909,1553000,400,1552900,600,1552200,900,1552100,600,1000014582.1299998,999909.0,{},No action,,,,,
102,5948,1553300,400,1553100,100,1552500,200,1552400,500,1000014582.1299998,999909.0,{},No action,,,,,
103,5993,1553700,600,1553600,112,1552800,600,1552700,500,1000014582.1299998,999909.0,{},Market Order,11900741,1553600,12,4,-1
104,6020,1554100,700,1554000,100,1553400,300,1553200,600,1000012717.8099997,999921.0,{},Limit Order,11990321,1553400,2,1,1
105,6028,1554100,400,1554000,100,1553400,102,1553200,500,1000012717.8099997,999921.0,"{11990321: (1553400, 2, 100, 0.9803921568627451)}",No action,,,,,
106,6087,1554700,700,1554400,100,1553700,3,1553600,402,1000012717.8099997,999921.0,{},Limit Order,12026601,1553700,600,1,1
107,6089,1554500,100,1554400,100,1553700,603,1553600,402,1000012717.8099997,999921.0,"{12026601: (1553700, 600, 3, 0.004975124378109453)}",Cancel Order,12026601,1553700,600,3,1
108,6189,1554800,600,1554700,900,1553800,700,1553700,602,1000012717.8099997,999921.0,{},No action,,,,,
109,6228,1554700,900,1554600,100,1553700,602,1553600,400,1000012717.8099997,999921.0,{},No action,,,,,
110,6250,1554700,700,1554600,700,1553700,2,1553600,500,1000012717.8099997,999921.0,{},Limit Order,12072929,1553600,100,1,1
111,6272,1554700,100,1554600,100,1554000,50,1553900,500,1000012717.8099997,999921.0,{},Limit Order,12091269,1554500,16,1,-1
112,6274,1554600,100,1554500,16,1554000,150,1553900,500,1000012717.8099997,999921.0,"{12091269: (1554500, 16, 0, 0.0)}",No action,,,,,
113,6277,1554600,100,1554500,16,1554000,350,1553900,400,1000012717.8099997,999921.0,"{12091269: (1554500, 16, 0, 0.0)}",Limit Order,12124589,1554000,100,1,1
114,6324,1555100,600,1555000,260,1554300,400,1554200,500,1000015205.0099998,999905.0,{},No action,,,,,
115,6327,1555100,600,1555000,260,1554300,100,1554200,600,1000015205.0099998,999905.0,{},Market Order,12157109,1554300,100,4,1
116,6371,1555000,1010,1554900,350,1554300,20,1554200,500,1000030748.0099998,999805.0,{},Market Order,12170533,1554300,20,4,1
117,6384,1555000,1110,1554900,750,1554100,500,1554000,950,1000033856.6099998,999785.0,{},No action,,,,,
118,6467,1553800,600,1553700,400,1553000,600,1552900,500,1000033856.6099998,999785.0,{},No action,,,,,
119,6562,1553800,600,1553600,250,1553200,100,1553100,100,1000033856.6099998,999785.0,{},Market Order,12240425,1553200,100,4,1
120,6628,1553700,600,1553600,400,1553000,194,1552800,400,1000049388.6099998,999685.0,{},No action,,,,,
121,6650,1553700,600,1553600,500,1552800,102,1552700,600,1000049388.6099998,999685.0,{},No action,,,,,
122,6689,1553000,200,1552700,100,1552500,50,1552400,155,1000049388.6099998,999685.0,{},No action,,,,,
123,6718,1552900,400,1552700,32,1552100,600,1552000,700,1000049388.6099998,999685.0,{},Limit Order,12335369,1552700,100,1,-1
124,6722,1552900,400,1552700,132,1552000,900,1551900,600,1000049388.6099998,999685.0,"{12335369: (1552700, 100, 32, 0.24242424242424243)}",Cancel Order,12335369,1552700,100,3,-1
125,6724,1552900,400,1552700,32,1552000,300,1551900,600,1000049388.6099998,999685.0,{},No action,,,,,
126,6761,1552000,600,1551900,200,1551300,200,1551200,606,1000049388.6099998,999685.0,{},Limit Order,12367061,1551300,100,1,1
127,6765,1552000,600,1551900,200,1551300,700,1551200,606,1000049388.6099998,999685.0,"{12367061: (1551300, 100, 200, 0.2857142857142857)}",Cancel Order,12367061,1551300,100,3,1
128,6921,1552200,600,1552100,500,1551400,200,1551300,800,1000049388.6099998,999685.0,{},No action,,,,,
129,6969,1552300,1200,1552200,600,1551400,500,1551300,800,1000049388.6099998,999685.0,{},No action,,,,,
130,6993,1552400,600,1552300,500,1551600,26,1551500,529,1000049388.6099998,999685.0,{},Limit Order,12473457,1551600,100,1,1
131,7021,1552700,832,1552600,700,1552000,500,1551900,600,1000049388.6099998,999685.0,{},Limit Order,12493661,1552400,10,1,-1
132,7025,1552500,400,1552400,10,1551900,600,1551800,800,1000049388.6099998,999685.0,"{12493661: (1552400, 10, 0, 0.0)}",Cancel Order,12493661,1552400,10,3,-1
133,7076,1552400,600,1552300,50,1551900,100,1551800,800,1000049388.6099998,999685.0,{},Market Order,12487873,1551900,100,4,1
134,7128,1552700,232,1552600,200,1552200,200,1552100,600,1000064907.6099998,999585.0,{},No action,,,,,
135,7160,1552700,232,1552600,200,1552000,1100,1551900,800,1000064907.6099998,999585.0,{},No action,,,,,
136,7167,1552700,232,1552600,200,1551800,600,1551700,300,1000064907.6099998,999585.0,{},Limit Order,12601261,1552700,400,1,-1
137,7193,1552700,232,1552600,200,1551800,500,1551700,900,1000064907.6099998,999585.0,{},Limit Order,12613333,1551900,21,1,1
138,7198,1552700,232,1552600,200,1552000,600,1551900,721,1000064907.6099998,999585.0,"{12613333: (1551900, 21, 0, 0.0)}",Cancel Order,12613333,1551900,21,3,1
139,7251,1553200,500,1553100,200,1552700,94,1552600,500,1000064907.6099998,999585.0,{},Market Order,12626881,1552700,73,4,1
140,7318,1553200,500,1553100,600,1552400,500,1552300,400,1000076242.3199998,999512.0,{},Limit Order,12681889,1552500,900,1,1
141,7319,1553200,500,1553100,600,1552500,900,1552400,500,1000076242.3199998,999512.0,"{12681889: (1552500, 900, 0, 0.0)}",Cancel Order,12681889,1552500,400,2,1
142,7322,1553200,500,1553100,600,1552500,500,1552400,500,1000076242.3199998,999512.0,"{12681889: (1552500, 500, 0, 0.0)}",Cancel Order,12681889,1552500,500,3,1
143,7333,1553200,600,1553100,1000,1552400,100,1552200,500,1000076242.3199998,999512.0,{},No action,,,,,
144,7344,1553100,1100,1553000,632,1552200,100,1552100,100,1000076242.3199998,999512.0,{},Limit Order,12720177,1552100,400,1,1
145,7349,1553100,1000,1553000,132,1552200,100,1552100,500,1000076242.3199998,999512.0,"{12720177: (1552100, 400, 100, 0.2)}",Cancel Order,12720177,1552100,400,3,1
146,7360,1553100,900,1553000,432,1552500,1,1552300,500,1000076242.3199998,999512.0,{},No action,,,,,
147,7406,1552300,700,1552200,500,1551400,600,1551300,100,1000076242.3199998,999512.0,{},No action,,,,,
148,7448,1552000,600,1551900,300,1551100,800,1551000,600,1000076242.3199998,999512.0,{},Limit Order,12792985,1552000,100,1,-1
149,7451,1552000,700,1551900,300,1551100,200,1551000,500,1000076242.3199998,999512.0,"{12792985: (1552000, 100, 600, 0.8571428571428571)}",Cancel Order,12792985,1552000,100,3,-1
150,7455,1552000,600,1551900,300,1551200,500,1551100,700,1000076242.3199998,999512.0,{},No action,,,,,
151,7463,1552000,600,1551900,300,1551100,600,1551000,500,1000076242.3199998,999512.0,{},No action,,,,,
152,7520,1551700,500,1551600,800,1550900,600,1550600,800,1000076242.3199998,999512.0,{},Limit Order,12852233,1551400,100,1,-1
153,7521,1551600,800,1551400,100,1550900,600,1550600,800,1000076242.3199998,999512.0,"{12852233: (1551400, 100, 0, 0.0)}",Cancel Order,12852233,1551400,100,3,-1
154,7571,1551600,900,1551500,500,1550700,1000,1550600,700,1000076242.3199998,999512.0,{},No action,,,,,
155,7592,1551500,600,1551400,500,1550700,31,1550600,200,1000076242.3199998,999512.0,{},No action,,,,,
156,7614,1551400,800,1551300,1200,1550700,600,1550600,600,1000076242.3199998,999512.0,{},No action,,,,,
157,7669,1550800,100,1550700,400,1550400,200,1550200,900,1000076242.3199998,999512.0,{},Market Order,12941769,1550400,200,4,1
158,7749,1551100,500,1551000,200,1550500,100,1550400,300,1000107250.3199998,999312.0,{},Limit Order,12965633,1551000,400,1,-1
159,7750,1551100,500,1551000,600,1550500,100,1550400,300,1000107250.3199998,999312.0,"{12965633: (1551000, 400, 200, 0.3333333333333333)}",Cancel Order,12965633,1551000,400,3,-1
160,7815,1552000,600,1551900,200,1551600,100,1551500,200,1000107250.3199998,999312.0,{},No action,,,,,
161,7860,1552100,500,1551900,100,1551300,300,1551200,500,1000107250.3199998,999312.0,{},Limit Order,13015541,1552000,500,1,-1
162,7865,1552000,500,1551900,100,1551300,100,1551200,600,1000107250.3199998,999312.0,"{13015541: (1552000, 500, 0, 0.0)}",Cancel Order,13015541,1552000,500,3,-1
163,7871,1552100,600,1551900,100,1551200,600,1551100,700,1000107250.3199998,999312.0,{},No action,,,,,
164,7905,1552100,500,1551900,100,1551300,500,1551200,400,1000107250.3199998,999312.0,{},Limit Order,13080589,1552000,400,1,-1
165,7910,1552000,400,1551900,100,1551200,400,1551100,200,1000107250.3199998,999312.0,"{13080589: (1552000, 400, 0, 0.0)}",Limit Order,13100345,1551400,100,1,1
166,8019,1551100,900,1550900,100,1550700,50,1550600,100,1000091736.3199998,999412.0,{},Market Order,13111009,1550700,50,4,1
167,8064,1550900,600,1550800,500,1550000,401,1549900,500,1000099489.8199998,999362.0,{},Limit Order,13157205,1550000,400,1,1
168,8101,1551500,500,1551400,600,1550700,300,1550500,500,1000099489.8199998,999362.0,{},Limit Order,13179021,1550800,250,1,1
169,8156,1551100,500,1551000,200,1550300,700,1550200,600,1000060719.8199998,999612.0,{},No action,,,,,
170,8182,1551200,600,1551100,500,1550400,106,1550300,200,1000060719.8199998,999612.0,{},Limit Order,13230709,1551200,100,1,-1
171,8260,1551200,900,1551000,500,1550200,105,1550100,1005,1000060719.8199998,999612.0,{},No action,,,,,
172,8289,1550800,800,1550700,700,1550000,1152,1549900,500,1000060719.8199998,999612.0,{},No action,,,,,
173,8385,1551200,600,1551100,700,1550400,911,1550300,500,1000060719.8199998,999612.0,{},Limit Order,13280297,1550700,500,1,-1
174,8418,1551100,900,1551000,728,1550400,100,1550300,500,1000138254.8199998,999112.0,{},No action,,,,,
175,8568,1550000,1110,1549900,1100,1549200,100,1549100,32,1000138254.8199998,999112.0,{},No action,,,,,
176,8752,1550200,700,1550100,1000,1549500,100,1549400,700,1000138254.8199998,999112.0,{},No action,,,,,
177,8781,1550000,400,1549900,700,1549100,912,1549000,450,1000138254.8199998,999112.0,{},No action,,,,,
178,8857,1549400,600,1549300,600,1548700,525,1548600,500,1000138254.8199998,999112.0,{},No action,,,,,
179,8869,1549400,700,1549300,500,1548600,400,1548500,104,1000138254.8199998,999112.0,{},No action,,,,,
180,8904,1549500,600,1549400,400,1549000,150,1548800,200,1000138254.8199998,999112.0,{},No action,,,,,
181,8934,1549400,800,1549300,500,1548800,200,1548600,500,1000138254.8199998,999112.0,{},Market Order,13419197,1548800,200,4,1
182,8967,1549400,900,1549300,600,1548600,732,1548500,604,1000169230.8199998,998912.0,{},No action,,,,,
183,8983,1549400,1000,1549300,600,1548600,132,1548500,604,1000169230.8199998,998912.0,{},No action,,,,,
184,9096,1548600,506,1548500,400,1547800,500,1547700,400,1000169230.8199998,998912.0,{},No action,,,,,
185,9150,1548500,700,1548300,55,1547800,500,1547700,400,1000169230.8199998,998912.0,{},No action,,,,,
186,9179,1548400,600,1548300,100,1547900,100,1547800,1000,1000169230.8199998,998912.0,{},Limit Order,13547025,1548400,100,1,-1
187,9193,1548400,700,1548300,200,1547900,200,1547800,500,1000169230.8199998,998912.0,{},Limit Order,13561201,1548200,100,1,-1
188,9216,1548400,200,1548300,100,1547900,100,1547800,1100,1000184712.8199998,998812.0,{},No action,,,,,
189,9255,1548600,500,1548300,10,1547900,300,1547800,1000,1000184712.8199998,998812.0,{},Market Order,13594689,1548300,10,4,-1
190,9292,1548700,600,1548500,32,1548100,200,1548000,500,1000183164.5199999,998822.0,{},No action,,,,,
191,9306,1548800,200,1548700,200,1548300,700,1548200,500,1000183164.5199999,998822.0,{},No action,,,,,
192,9357,1549300,506,1549200,1000,1548600,600,1548500,500,1000183164.5199999,998822.0,{},Limit Order,13657277,1549100,100,1,-1
193,9423,1549500,100,1549400,200,1549100,100,1549000,600,1000183164.5199999,998822.0,{},No action,,,,,
194,9499,1548800,909,1548700,100,1548300,600,1548200,700,1000183164.5199999,998822.0,{},No action,,,,,
195,9540,1548400,600,1548300,100,1547800,500,1547700,700,1000183164.5199999,998822.0,{},Limit Order,13735833,1548300,100,1,-1
196,9631,1547900,600,1547800,100,1547500,200,1547300,500,1000183164.5199999,998822.0,{},No action,,,,,
197,9694,1547500,100,1547400,100,1547000,235,1546900,601,1000183164.5199999,998822.0,{},No action,,,,,
198,9731,1547200,400,1547100,100,1546900,1,1546800,7,1000183164.5199999,998822.0,{},No action,,,,,
199,9803,1546900,800,1546800,100,1546500,200,1546400,500,1000183164.5199999,998822.0,{},No action,,,,,
200,9947,1547100,400,1546600,100,1546200,700,1546100,832,1000183164.5199999,998822.0,{},No action,,,,,
201,9983,1547100,700,1547000,400,1546200,700,1546100,800,1000183164.5199999,998822.0,{},Limit Order,13905577,1547000,100,1,-1
202,9984,1547100,700,1547000,500,1546200,700,1546100,800,1000183164.5199999,998822.0,"{13905577: (1547000, 100, 400, 0.8)}",Cancel Order,13905577,1547000,100,3,-1
203,10004,1547100,700,1547000,400,1546200,700,1546100,800,1000183164.5199999,998822.0,{},No action,,,,,
204,10012,1547100,700,1547000,600,1546200,200,1546100,800,1000183164.5199999,998822.0,{},No action,,,,,
205,10051,1547000,1100,1546900,500,1546200,100,1546100,800,1000183164.5199999,998822.0,{},No action,,,,,
206,10074,1547000,1000,1546900,400,1546200,100,1546100,800,1000183164.5199999,998822.0,{},Limit Order,13985233,1546200,500,1,1
207,10106,1547000,700,1546900,600,1546200,600,1546100,800,1000183164.5199999,998822.0,{},No action,,,,,
208,10118,1547000,600,1546900,100,1546300,400,1546200,600,1000183164.5199999,998822.0,{},No action,,,,,
209,10171,1547400,800,1547200,100,1546800,900,1546700,700,1000183164.5199999,998822.0,{},No action,,,,,
210,10233,1547900,200,1547800,300,1547400,600,1547300,600,1000183164.5199999,998822.0,{},No action,,,,,
211,10329,1547600,500,1547500,600,1546900,600,1546800,400,1000183164.5199999,998822.0,{},Limit Order,14090021,1547300,100,1,-1
212,10346,1547400,400,1547300,200,1546700,700,1546600,500,1000183164.5199999,998822.0,"{14090021: (1547300, 100, 0, 0.0)}",Limit Order,14104993,1546800,100,1,1
213,10424,1546700,200,1546600,600,1546000,530,1545900,706,1000167696.5199999,998922.0,{},No action,,,,,
214,10507,1546500,500,1546300,100,1546000,500,1545900,600,1000167696.5199999,998922.0,{},No action,,,,,
215,10556,1546700,706,1546400,500,1546000,100,1545900,400,1000167696.5199999,998922.0,{},No action,,,,,
216,10615,1546600,1000,1546500,700,1545800,342,1545700,1400,1000167696.5199999,998922.0,{},Limit Order,14219333,1546400,100,1,-1
217,10655,1546500,700,1546400,200,1546000,100,1545900,800,1000167696.5199999,998922.0,{},No action,,,,,
218,10666,1546500,700,1546400,200,1545900,200,1545800,109,1000167696.5199999,998922.0,{},Limit Order,14264493,1545800,400,1,1
219,10669,1546500,700,1546400,200,1545900,200,1545800,509,1000167696.5199999,998922.0,"{14264493: (1545800, 400, 109, 0.21414538310412573)}",Cancel Order,14264493,1545800,400,3,1
220,10670,1546500,700,1546400,200,1545900,200,1545800,109,1000167696.5199999,998922.0,{},No action,,,,,
